factor_no_diseño,Asignacion,Muestra,Peso,Peso_post,Differencia
P,3,P1,81.526,80.441,1.085
P,4,P2,78.877,78.902,-0.025
P,3,P3,76.476,75.086,1.39
P,1,P4,80.868,80.861,0.007
P,2,P5,78.596,78.578,0.018
P,1,P6,75.733,75.714,0.019
P,2,P7,89.673,89.719,-0.046
P,3,P8,80.731,79.152,1.579
P,1,P9,79.217,79.21,0.007
P,1,P10,81.225,81.224,0.001
P,4,P11,82.474,82.488,-0.014
P,2,P12,83.502,83.521,-0.019
P,4,P13,77.787,77.801,-0.014
P,4,P14,81.274,81.288,-0.014
P,3,P15,78.687,77.364,1.323
P,2,P16,77.962,77.981,-0.019
P,4,P17,80.112,80.112,0
P,1,P18,79.82,79.809,0.011
P,2,P19,78.202,78.228,-0.026
P,3,P20,81.813,80.133,1.68
V,2,V1,17.24,17.252,-0.012
V,1,V2,19.364,19.365,-0.001
V,2,V3,20.859,20.866,-0.007
V,2,V4,20.325,20.326,-0.001
V,2,V5,19.926,19.935,-0.009
V,4,V6,17.185,17.188,-0.003
V,3,V7,18.428,17.883,0.545
V,4,V8,17.277,17.28,-0.003
V,1,V9,14.763,14.767,-0.004
V,1,V10,13.954,13.957,-0.003
V,4,V11,13.472,13.471,0.001
V,1,V12,17.784,17.786,-0.002
V,3,V13,19.09,18.733,0.357
V,4,V14,16.563,16.563,0
V,1,V15,16.63,16.632,-0.002
V,3,V16,16.108,15.753,0.355
V,3,V17,20.021,19.594,0.427
V,3,V18,19.165,18.52,0.645
V,4,V19,19.871,19.873,-0.002
V,2,V20,20.475,20.478,-0.003
